"✔Click to move selected players to the top","Player","forInfoClick  for player info popup","Team","PosPosition","CostPlayer's current price","MeritHow good the player is in terms of likelihood to score FPL points","FormOver/under-performance over the last 4 gameweeks compared to predicted points","Prob. ofAppear-ingProbability that the player will play at all in the next match","PtsRest OfSeasonPredicted FPL points for the rest of the season","ValueRest OfSeasonPlayer's value for the rest of the season (predicted points per million pounds excess cost)","PointsSo Far","OfficialChancePlayer's official chance of playing the next match","OfficialAvailability","SelectedBy %Percentage of managers owning this player","TransfersIn GWNumber of transfers in since the last transfer deadline","TransfersOut GWNumber of transfers out since the last transfer deadline","News"
"","Sarr","","CRY","MID","6.4","3.68","1","0.95","0","0","117","100","Available","5.6","0","0",""
"","Pedro Porro","","TOT","DEF","5.2","3.69","1","0.95","0","0","117","100","Available","11.7","0","0",""
"","Minteh","","BHA","MID","5.5","3","1","0.92","0","0","117","100","Available","2.5","0","0",""
"","Ballard","","SUN","DEF","4.6","2.93","1","0","0","0","116","100","Available","2.4","0","0",""
"","Van de Ven","","TOT","DEF","4.4","2.99","1","0.93","0","0","116","100","Available","17.6","0","0",""
"","O'Brien","","EVE","DEF","4.9","2.47","1","0.94","0","0","116","100","Available","0.7","0","0",""
"","James","","CHE","DEF","5.6","2.94","1","0.62","0","0","115","100","Available","6.0","0","0",""
"","Lewis-Potter","","BRE","DEF","4.8","2.97","1","0.96","0","0","115","100","Available","1.5","0","0",""
"","Evanilson","","BOU","FWD","6.6","3.53","1","0.96","0","0","115","100","Available","2.4","0","0",""
"","Mateta","","CRY","FWD","7.6","2.97","1","0.93","0","0","114","100","Available","8.1","0","0",""
"","Palmer","","CHE","MID","10.3","4.26","1","0.88","0","0","114","100","Available","12.6","0","0",""
"","Igor Jesus","","NFO","FWD","5.9","2.64","1","0.93","0","0","114","100","Available","2.4","0","0",""
"","Shaw","","MUN","DEF","4.5","2.95","1","0.96","0","0","113","100","Available","1.1","0","0",""
"","Rúben","","MCI","DEF","5.5","2.95","1","0.24","0","0","113","100","Available","3.1","0","0",""
"","Sánchez","","CHE","GK","4.8","3.19","1","0.92","0","0","113","100","Available","10.3","0","0",""
"","Eze","","ARS","MID","7.3","3.14","1","0.95","0","0","113","100","Available","8.7","0","0",""
"","Damsgaard","","BRE","MID","5.6","3.36","1","0.95","0","0","113","100","Available","0.8","0","0",""
"","Van den Berg","","BRE","DEF","4.4","3.47","1","0.82","0","0","113","100","Available","1.0","0","0",""
"","Kroupi.Jr","","BOU","FWD","4.7","3.31","1","0.92","0","0","113","100","Available","7.6","0","0",""
"","Kayode","","BRE","DEF","4.6","2.84","1","0.94","0","0","113","100","Available","1.0","0","0",""
"","Raúl","","FUL","FWD","5.9","2.78","1","0.83","0","0","112","100","Available","1.8","0","0",""
"","Wharton","","CRY","MID","5","3.42","1","0.94","0","0","112","100","Available","0.7","0","0",""
"","Dalot","","MUN","DEF","4.5","3.23","1","0.83","0","0","111","100","Available","3.8","0","0",""
"","Šeško","","MUN","FWD","7.2","3.06","1","0.29","0","0","111","50","Doubtful","4.6","0","0","Shin injury - 50% chance of playing"
"","Summerville","","WHU","MID","5.4","3.54","1","0.94","0","0","110","100","Available","1.6","0","0",""
"","Hill","","BOU","DEF","4.2","2.94","1","0.95","0","0","110","100","Available","7.4","0","0",""
"","Caicedo","","CHE","MID","5.7","3.21","1","0.95","0","0","110","100","Available","7.1","0","0",""
"","Hume","","SUN","DEF","4.5","2.72","1","0.96","0","0","110","100","Available","0.3","0","0",""
"","Rodon","","LEE","DEF","3.9","2.86","1","0.95","0","0","109","100","Available","3.0","0","0",""
"","Okafor","","LEE","MID","5.5","3.05","1","0.01","0","0","109","0","Injured","0.9","0","0","Calf injury - Expected back 01 Jun"
"","Lammens","","MUN","GK","5.1","3.39","1","0.92","0","0","109","100","Available","3.6","0","0",""
"","Calafiori","","ARS","DEF","5.6","3.53","1","0.83","0","0","109","100","Available","6.0","0","0",""
"","Struijk","","LEE","DEF","4.2","3.56","1","0.65","0","0","108","100","Available","1.9","0","0",""
"","Mac Allister","","LIV","MID","6.1","3.04","1","0.96","0","0","108","100","Available","1.8","0","0",""
"","Woltemade","","NEW","FWD","6.7","2.44","1","0.83","0","0","108","100","Available","6.5","0","0",""
"","J.Gomes","","WOL","MID","5.3","3.25","1","0.94","0","0","107","100","Available","0.3","0","0",""
"","Barnes","","NEW","MID","6.1","2.74","1","0.96","0","0","106","100","Available","1.3","0","0",""
"","Sels","","NFO","GK","4.6","3.17","1","0.92","0","0","105","100","Available","5.0","0","0",""
"","Cucurella","","CHE","DEF","6.1","3.02","1","0.95","0","0","104","100","Available","14.6","0","0",""
"","Beto","","EVE","FWD","5.1","2.81","1","0.94","0","0","104","100","Available","3.3","0","0",""
"","Yarmoliuk","","BRE","MID","5","2.74","1","0.96","0","0","104","100","Available","0.1","0","0",""
"","Diouf","","WHU","DEF","4.1","3.22","1","0.92","0","0","104","100","Available","2.4","0","0",""
"","McGinn","","AVL","MID","5.3","2.84","1","0.84","0","0","103","100","Available","0.7","0","0",""
"","Iwobi","","FUL","MID","6.1","3.37","1","0.89","0","0","103","100","Available","1.1","0","0",""
"","Souček","","WHU","MID","5.7","3.34","1","0.96","0","0","103","100","Available","0.5","0","0",""
"","Bassey","","FUL","DEF","4.4","3.33","1","0.94","0","0","103","100","Available","0.8","0","0",""
"","Bernardo","","MCI","MID","6.2","3.25","1","0.96","0","0","102","100","Available","0.7","0","0",""
"","Buendía","","AVL","MID","5.3","2.72","1","0.96","0","0","102","100","Available","0.4","0","0",""
"","Gordon","","NEW","MID","7.2","3.94","1","0.4","0","0","101","100","Available","3.1","0","0",""
"","Dunk","","BHA","DEF","4.5","3.25","1","0.77","0","0","100","100","Available","1.0","0","0",""
"","Konsa","","AVL","DEF","4.4","2.96","1","0.81","0","0","100","100","Available","7.0","0","0",""
"","Flemming","","BUR","FWD","5.3","2.95","1","0.93","0","0","99","100","Available","0.8","0","0",""
"","Bijol","","LEE","DEF","3.9","3.25","1","0.95","0","0","99","100","Available","1.3","0","0",""
"","Jensen","","BRE","MID","4.9","3.46","1","0.96","0","0","98","100","Available","0.1","0","0",""
"","Ayari","","BHA","MID","4.8","2.43","1","0.84","0","0","98","100","Available","0.4","0","0",""
"","Digne","","AVL","DEF","4.5","2.69","1","0.79","0","0","97","100","Available","1.5","0","0",""
"","Ugochukwu","","BUR","MID","5","2.5","1","0.77","0","0","97","100","Available","0.1","0","0",""
"","Gomez","","BHA","MID","4.9","2.95","1","0.89","0","0","97","100","Available","0.4","0","0",""
"","Dúbravka","","BUR","GK","4","2.7","1","0.25","0","0","96","100","Available","25.7","0","0",""
"","Pope","","NEW","GK","5","3.63","1","0.9","0","0","96","100","Available","4.5","0","0",""
"","Bogle","","LEE","DEF","4.4","3.42","1","0.51","0","0","96","100","Available","0.4","0","0",""
"","Gusto","","CHE","DEF","4.8","2.64","1","0.51","0","0","96","100","Available","1.7","0","0",""
"","André","","WOL","MID","5.2","2.84","1","0.95","0","0","96","100","Available","0.1","0","0",""
"","Sessegnon","","FUL","MID","5.4","2.74","1","0.65","0","0","95","100","Available","0.1","0","0",""
"","Mykolenko","","EVE","DEF","4.9","2.84","1","0.94","0","0","95","100","Available","0.7","0","0",""
"","Barry","","EVE","FWD","5.7","2.6","1","0.93","0","0","95","100","Available","0.8","0","0",""
"","Dorgu","","MUN","DEF","4.1","3.45","1","0.88","0","0","95","100","Available","2.4","0","0",""
"","Justin","","LEE","DEF","4","3.23","1","0.95","0","0","94","100","Available","2.3","0","0",""
"","Wieffer","","BHA","MID","4.8","2.84","1","0.89","0","0","94","100","Available","0.3","0","0",""
"","Burn","","NEW","DEF","5","2.95","1","0.91","0","0","93","100","Available","3.6","0","0",""
"","S.Bueno","","WOL","DEF","4.4","3.31","1","0.95","0","0","92","100","Available","0.2","0","0",""
"","Reijnders","","MCI","MID","5","2.59","1","0.26","0","0","92","100","Available","8.9","0","0",""
"","Brobbey","","SUN","FWD","5.3","2.88","1","0.95","0","0","92","100","Available","0.9","0","0",""
"","A.Becker","","LIV","GK","5.4","3.5","1","0.65","0","0","91","100","Available","5.1","0","0",""
"","Berge","","FUL","MID","4.9","2.93","1","0.62","0","0","91","100","Available","0.1","0","0",""
"","Romero","","TOT","DEF","5","2.75","1","0.01","0","0","91","0","Injured","2.9","0","0","Knee injury - Expected back 01 Jun"
"","Amad","","MUN","MID","6.2","3.64","1","0.96","0","0","91","100","Available","1.3","0","0",""
"","Hinshelwood","","BHA","MID","5.2","3.58","1","0.94","0","0","91","100","Available","1.6","0","0",""
"","Maguire","","MUN","DEF","4.4","3.32","1","0.84","0","0","90","100","Available","1.7","0","0",""
"","Vicario","","TOT","GK","4.7","2.91","1","0.5","0","0","90","100","Available","4.7","0","0",""
"","Sangaré","","NFO","MID","4.9","2.54","1","0.91","0","0","89","100","Available","0.1","0","0",""
"","Botman","","NEW","DEF","4.9","3.99","1","0.93","0","0","89","100","Available","0.5","0","0",""
"","Hudson-Odoi","","NFO","MID","5.7","2.67","1","0.01","0","0","88","0","Injured","0.6","0","0","Muscle injury - Expected back 01 Jun"
"","Hincapie","","ARS","DEF","5.1","3.66","1","0.68","0","0","87","100","Available","0.9","0","0",""
"","Georginio","","BHA","MID","5.6","2.26","1","0.88","0","0","87","100","Available","0.3","0","0",""
"","Bentancur","","TOT","MID","5.2","2.9","1","0.91","0","0","86","100","Available","0.2","0","0",""
"","Estève","","BUR","DEF","3.8","2.78","1","0.96","0","0","85","100","Available","7.0","0","0",""
"","Kerkez","","LIV","DEF","5.6","2.74","1","0.87","0","0","85","100","Available","2.9","0","0",""
"","Florentino","","BUR","MID","5","2.34","1","0.87","0","0","84","100","Available","0.0","0","0",""
"","De Cuyper","","BHA","DEF","4.3","2.6","1","0.82","0","0","84","100","Available","1.7","0","0",""
"","Gana","","EVE","MID","5.4","3.13","1","0.23","0","0","83","50","Doubtful","0.1","0","0","Lack of match fitness - 50% chance of playing"
"","H.Bueno","","WOL","DEF","4.3","2.59","1","0.96","0","0","83","100","Available","0.2","0","0",""
"","Talbi","","SUN","MID","4.9","2.25","1","0.01","0","0","83","0","Injured","0.2","0","0","Muscle injury - Expected back 01 Jun"
"","Murillo","","NFO","DEF","5.2","2.46","1","0.01","0","0","83","0","Injured","1.8","0","0","Muscle injury - Expected back 01 Jun"
"","J.Murphy","","NEW","MID","5.9","2.23","1","0.95","0","0","82","100","Available","0.6","0","0",""
"","Hutchinson","","NFO","MID","5.4","2.48","1","0.93","0","0","82","100","Available","0.1","0","0",""
"","Tete","","FUL","DEF","4.5","3.3","1","0.31","0","0","81","100","Available","0.2","0","0",""
"","C.Jones","","LIV","MID","5.4","3.06","1","0.94","0","0","81","100","Available","0.1","0","0",""
"","Tonali","","NEW","MID","5.3","2.8","1","0.62","0","0","81","75","Doubtful","1.0","0","0","Hamstring injury - 75% chance of playing"
"","Wilson","","WHU","FWD","5.8","2.03","1","0.9","0","0","80","100","Available","0.6","0","0",""
"","Smith Rowe","","FUL","MID","5.6","2.64","1","0.93","0","0","80","100","Available","0.5","0","0",""
"","Xavi","","TOT","MID","6.3","2.77","1","0","0","0","80","0","Injured","1.1","0","0","Knee injury - Expected back 01 Jan"
"","Sadiki","","SUN","MID","4.9","2.58","1","0.96","0","0","80","100","Available","0.1","0","0",""
"","Grealish","","EVE","MID","6.3","2.86","1","0.01","0","0","79","0","Injured","5.6","0","0","Foot injury - Expected back 01 Jun"
"","Gvardiol","","MCI","DEF","5.8","3.31","1","0.47","0","0","79","100","Available","3.2","0","0",""
"","Hall","","NEW","DEF","5.3","2.87","1","0.88","0","0","79","100","Available","3.3","0","0",""
"","Groß","","BHA","MID","5.6","4.28","1","0.96","0","0","78","100","Available","3.0","0","0",""
"","Spence","","TOT","DEF","4.1","2.34","1","0.87","0","0","78","100","Available","0.9","0","0",""
"","Tel","","TOT","MID","6.2","2.66","1","0.95","0","0","78","100","Available","0.5","0","0",""
"","Adams","","BOU","MID","4.9","2.29","1","0.91","0","0","77","100","Available","0.3","0","0",""
"","Yeremy","","CRY","MID","5.8","2.82","1","0.82","0","0","77","100","Available","0.2","0","0",""
"","Henderson","","BRE","MID","5","1.72","1","0.86","0","0","76","100","Available","0.3","0","0",""
"","Ajer","","BRE","DEF","4.4","2.34","1","0.69","0","0","76","100","Available","0.2","0","0",""
"","Onana","","AVL","MID","4.8","2.82","1","0.76","0","0","76","100","Available","0.6","0","0",""
"","Hermansen","","WHU","GK","4.2","3.14","1","0.92","0","0","76","100","Available","1.0","0","0",""
"","Osula","","NEW","FWD","5.5","2.88","1","0.92","0","0","76","100","Available","2.1","0","0",""
"","Strand Larsen","","CRY","FWD","5.8","2.28","1","0.96","0","0","75","100","Available","1.4","0","0",""
"","Kudus","","TOT","MID","6.4","3.19","1","0.01","0","0","75","0","Injured","9.1","0","0","Thigh injury - Expected back 01 Jun"
"","Ødegaard","","ARS","MID","7.8","2.97","1","0.89","0","0","74","100","Available","1.7","0","0",""
"","Janelt","","BRE","MID","4.9","2.54","1","0.87","0","0","74","100","Available","0.1","0","0",""
"","Reinildo","","SUN","DEF","3.8","2.74","1","0.94","0","0","74","100","Available","3.0","0","0",""
"","Isidor","","SUN","FWD","5","1.57","1","0.73","0","0","74","100","Available","1.3","0","0",""
"","A.Jimenez","","BOU","DEF","4.5","2.54","1","0","0","0","74","100","Available","0.1","0","0",""
"","Mané","","WOL","FWD","4.2","2.85","1","0.96","0","0","74","100","Available","1.4","0","0",""
"","Nmecha","","LEE","FWD","5","2.27","1","0.9","0","0","73","100","Available","0.5","0","0",""
"","Joelinton","","NEW","MID","5.9","2.59","1","0.01","0","0","73","0","Injured","0.3","0","0","Thigh injury - Expected back 01 Jun"
"","Mainoo","","MUN","MID","4.7","2.58","1","0.91","0","0","73","100","Available","1.4","0","0",""
"","Madueke","","ARS","MID","6.8","2.68","1","0.71","0","0","72","100","Available","0.8","0","0",""
"","L.Miley","","NEW","MID","4.4","2.96","1","0","0","0","72","0","Injured","1.7","0","0","Leg injury - Expected back 01 Jul"
"","Canvot","","CRY","DEF","4.5","3.22","1","0.86","0","0","72","100","Available","0.5","0","0",""
"","Darlow","","LEE","GK","4","3.27","1","0.92","0","0","71","100","Available","6.9","0","0",""
"","P.M.Sarr","","TOT","MID","4.5","2.09","1","0.71","0","0","71","100","Available","1.0","0","0",""
"","Walker","","BUR","DEF","4.4","2.13","1","0.94","0","0","70","100","Available","1.2","0","0",""
"","Cullen","","BUR","MID","4.9","2.91","1","0","0","0","70","0","Injured","0.8","0","0","Knee injury - Expected back 30 Sep"
"","Lerma","","CRY","MID","4.9","2.14","1","0.86","0","0","69","100","Available","0.1","0","0",""
"","Rodrigo","","MCI","MID","6.3","3.56","1","0.84","0","0","69","100","Available","0.5","0","0",""
"","L.Paquetá","","WHU","MID","5.9","3.5","1","0","0","0","69","0","Unavailable","1.0","0","0","has joined Flamengo permanently."
"","José Sá","","WOL","GK","4.2","3.24","1","0.92","0","0","68","100","Available","1.1","0","0",""
"","Tielemans","","AVL","MID","5.9","3.18","1","0.93","0","0","68","100","Available","0.7","0","0",""
"","Gudmundsson","","LEE","DEF","3.8","2.56","1","0.01","0","0","68","0","Injured","2.5","0","0","Hamstring injury - Expected back 01 Jun"
"","Krejčí","","WOL","DEF","4.5","2.88","1","0.77","0","0","68","100","Available","0.1","0","0",""
"","Iroegbunam","","EVE","MID","4.8","2.02","1","0.86","0","0","68","100","Available","0.0","0","0",""
"","Aina","","NFO","DEF","4.7","3.21","1","0.65","0","0","67","75","Doubtful","2.1","0","0","Lack of match fitness - 75% chance of playing"
"","Merino","","ARS","MID","5.3","2.7","1","0.45","0","0","67","100","Available","0.7","0","0",""
"","Kamada","","CRY","MID","5","2.48","1","0.95","0","0","67","100","Available","0.1","0","0",""
"","Lukić","","FUL","MID","4.9","2.48","1","0.87","0","0","67","100","Available","0.1","0","0",""
"","Wan-Bissaka","","WHU","DEF","4.1","2.75","1","0.75","0","0","67","100","Available","4.3","0","0",""
"","Tanaka","","LEE","MID","4.8","2.55","1","0.84","0","0","67","100","Available","0.2","0","0",""
"","Adli","","BOU","MID","5.4","2.01","1","0.64","0","0","67","100","Available","0.2","0","0",""
"","Rayan","","BOU","MID","5.4","3.67","1","0.88","0","0","67","100","Available","2.3","0","0",""
"","Khusanov","","MCI","DEF","5.4","3.01","1","0.83","0","0","67","100","Available","0.7","0","0",""
"","Tolu","","WOL","FWD","5.1","1.94","1","0.85","0","0","66","100","Available","0.1","0","0",""
"","Robinson","","FUL","DEF","4.9","2.91","1","0.9","0","0","65","100","Available","0.9","0","0",""
"","Johnson","","CRY","MID","6.5","2.24","1","0.95","0","0","65","100","Available","2.4","0","0",""
"","Fofana","","CHE","DEF","4.4","2.43","1","0.83","0","0","65","0","Suspended","0.4","0","0","Suspended until 05 Sep"
"","Diarra","","SUN","MID","5.3","2.42","1","0.83","0","0","65","100","Available","0.1","0","0",""
"","Pau","","AVL","DEF","4.3","2.82","1","0.49","0","0","64","100","Available","0.3","0","0",""
"","Danso","","TOT","DEF","4.2","2.91","1","0.93","0","0","63","100","Available","0.2","0","0",""
"","Frimpong","","LIV","DEF","5.7","2.56","1","0.51","0","0","63","100","Available","4.9","0","0",""
"","N.Gonzalez","","MCI","MID","5.9","1.99","1","0.3","0","0","63","100","Available","0.1","0","0",""
"","Hartman","","BUR","DEF","4","2.52","1","0.48","0","0","63","100","Available","0.6","0","0",""
"","King","","FUL","MID","4.4","1.51","1","0.92","0","0","63","100","Available","1.6","0","0",""
"","Chukwueze","","FUL","MID","5.3","2.26","1","0.86","0","0","62","100","Available","0.1","0","0",""
"","J.Ramsey","","NEW","MID","5.3","2.16","1","0.95","0","0","62","100","Available","0.3","0","0",""
"","Mitoma","","BHA","MID","6.1","2.57","1","0.01","0","0","62","0","Injured","1.9","0","0","Hamstring injury - Expected back 01 Jun"
"","Castagne","","FUL","DEF","4.3","2.93","1","0.89","0","0","61","100","Available","0.2","0","0",""
"","Kamara","","AVL","MID","4.9","2.73","1","0.01","0","0","61","0","Injured","0.2","0","0","Knee injury - Expected back 01 Jun"
